Binomial,Intro,Est,Spread,NoLocs,LG,BM,GT,WA,NBM,LS,LY,AFB,RL,OV
Microgale_gracilis,0,NA,NA,NA,NA,23.3,NA,NA,NA,NA,NA,NA,NA,NA
Microgale_longicaudata,0,NA,NA,NA,NA,8.08,NA,NA,NA,NA,NA,NA,NA,NA
Microgale_parvula,0,NA,NA,NA,NA,3.53,NA,NA,NA,NA,NA,NA,NA,NA
Microgale_principula,0,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA
Microgale_pusilla,0,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA
Microgale_taiva,0,NA,NA,NA,NA,12.4,NA,NA,NA,NA,NA,NA,NA,NA
Microgale_talazaci,0,NA,NA,NA,5.833333333,43.07,60.74,29.38,3.64,2.23,NA,425.83,1703.336667,NA
Microgale_thomasi,0,NA,NA,NA,NA,22.9,NA,NA,NA,NA,NA,NA,NA,NA
Microhydromys_richardsoni,0,NA,NA,NA,NA,10.25,NA,NA,NA,NA,NA,NA,NA,NA
Micromys_minutus,1,1,0,3,5,6.99,21,15,0.77,4.92,2.5,52,1773,0.082346306
Micronycteris_hirsuta,0,NA,NA,NA,NA,12.89,NA,NA,NA,0.99,NA,NA,NA,NA
Micronycteris_megalotis,0,NA,NA,NA,NA,6.4,121.66,NA,NA,0.98,NA,NA,NA,NA
Micronycteris_minuta,0,NA,NA,NA,NA,6.9,NA,NA,1.8,0.99,NA,NA,NA,NA
Micronycteris_schmidtorum,0,NA,NA,NA,NA,7.73,NA,NA,NA,NA,NA,NA,NA,NA
Microperoryctes_longicauda,0,NA,NA,NA,NA,542.07,NA,NA,NA,1.03,NA,NA,NA,NA
Microperoryctes_papuensis,0,NA,NA,NA,NA,158,NA,NA,NA,1.01,1,NA,NA,NA
Micropotamogale_lamottei,0,NA,NA,NA,NA,69.59,NA,NA,NA,3.86,NA,NA,NA,NA
Micropotamogale_ruwenzorii,0,NA,NA,NA,NA,109.13,NA,NA,NA,1.86,NA,NA,NA,NA
Micropteropus_pusillus,0,NA,NA,NA,NA,25.38,161.77,55.18,NA,0.99,2,349.79,NA,NA
Microryzomys_altissimus,0,NA,NA,NA,NA,13.49,NA,NA,NA,NA,NA,NA,NA,NA
Microryzomys_minutus,0,NA,NA,NA,NA,13.49,NA,NA,NA,NA,NA,NA,NA,NA
Microsciurus_alfari,0,NA,NA,NA,NA,87.49,NA,NA,NA,NA,NA,NA,NA,NA
Microsciurus_flaviventer,0,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA
Microsciurus_mimulus,0,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA
Microsciurus_santanderensis,0,NA,NA,NA,NA,99.79,NA,NA,NA,NA,NA,NA,NA,NA
Microtus_abbreviatus,0,NA,NA,NA,NA,66.06,21.27,14.88,3.37,3,NA,NA,NA,NA
Microtus_agrestis,0,NA,NA,NA,4.8,35.87,20.72,13.9,2.09,4.65,3.5,52.5,1699.5,0.061362586
Microtus_arvalis,1,1,NA,1,4.8,26.9,21,17.18,1.93,4.99,6,49,1703,0.035721276
Microtus_breweri,0,NA,NA,NA,NA,54,21,8.45,3.49,4.5,NA,NA,NA,NA
Microtus_cabrerae,0,NA,NA,NA,NA,52.5,NA,NA,NA,NA,NA,NA,NA,NA
Microtus_californicus,0,NA,NA,NA,NA,57.42,21.18,17.36,3.28,4.41,5,66.30833333,NA,NA
Microtus_canicaudus,0,NA,NA,NA,NA,29.93,22.97,18,2.42,4.62,2,55.6625,NA,NA
Microtus_chrotorrhinus,0,NA,NA,NA,NA,38.99,20,NA,NA,3.58,2,NA,NA,NA
Microtus_duodecimcostatus,0,NA,NA,NA,2.75,22.71,NA,NA,2.18,2.51,NA,NA,NA,NA
Microtus_fortis,0,NA,NA,NA,NA,63,NA,NA,NA,5.34,6,114.0625,NA,NA
Microtus_gregalis,0,NA,NA,NA,NA,47.5,NA,19.48,NA,8.48,2.75,NA,NA,NA
Microtus_guatemalensis,0,NA,NA,NA,NA,41.99,NA,NA,NA,NA,NA,NA,NA,NA
Microtus_guentheri,0,NA,NA,NA,3.916666667,49.99,21,18.49,3,6.14,6.5,187.6708333,1241.9125,0.045215622
Microtus_kikuchii,0,NA,NA,NA,NA,46.3,NA,NA,NA,1.97,NA,NA,NA,NA
Microtus_levis,1,1,NA,2,NA,35.49,NA,NA,NA,NA,NA,NA,NA,NA
Microtus_longicaudus,0,NA,NA,NA,1.166666667,44.8,NA,NA,NA,4.73,1.9,NA,NA,NA
Microtus_lusitanicus,0,NA,NA,NA,NA,NA,20,19.85,1.7,2.09,NA,38.02083333,NA,NA
Microtus_majori,0,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA
Microtus_maximowiczii,0,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA
Microtus_mexicanus,0,NA,NA,NA,NA,34.88,NA,NA,NA,2.33,NA,NA,NA,NA
Microtus_middendorffii,0,NA,NA,NA,NA,NA,NA,NA,NA,5.49,2.5,NA,NA,NA
Microtus_miurus,0,NA,NA,NA,NA,41,21,NA,2.78,3.89,NA,NA,NA,NA
Microtus_montanus,0,NA,NA,NA,NA,42.85,21.13,15,3.89,5.54,4.76,24.94166667,NA,NA
Microtus_montebelli,0,NA,NA,NA,NA,29.49,22.24,17.25,2.81,4.3,NA,60.83333333,NA,NA
Microtus_multiplex,0,NA,NA,NA,NA,23.16,NA,NA,NA,3,NA,NA,NA,NA
Microtus_oaxacensis,0,NA,NA,NA,NA,36.52,NA,NA,NA,1.2,NA,NA,NA,NA
Microtus_ochrogaster,0,NA,NA,NA,5.3,42.5,21.5,21,2.94,3.87,4.07,47.45,1887.05,0.047524225
Microtus_oeconomus,0,NA,NA,NA,1.8,33.1,21.51,20,2.34,5.62,3.5,42,615,0.169570267
Microtus_oregoni,0,NA,NA,NA,1.25,20.35,23.83,13.91,1.69,3.32,4.8,31.9375,424.3125,0.17921147
Microtus_pennsylvanicus,0,NA,NA,NA,1.333333333,42.53,21.24,12.92,2.4,5.16,2.7,45,441.6666667,0.306079665
Microtus_pinetorum,0,NA,NA,NA,3.8,25.95,23.99,20.08,2.42,2.47,2.5,97.6375,1289.3625,0.113234253
Microtus_quasiater,0,NA,NA,NA,NA,40,NA,NA,NA,1.4,NA,NA,NA,NA
Microtus_richardsoni,0,NA,NA,NA,1.5,85.5,22.29,21.29166667,5.48,5.93,2,NA,NA,NA
Microtus_sachalinensis,0,NA,NA,NA,NA,NA,NA,NA,NA,7.89,1,NA,NA,NA
Microtus_savii,0,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
Microtus_socialis,0,NA,NA,NA,NA,48,19.5,24.11,2.1,5.51,5,52.5,NA,NA
Microtus_subterraneus,0,NA,NA,NA,2.833333333,17.74,21,23.23,1.49,2.46,5.5,96.42083333,937.7458333,0.070769321
Microtus_tatricus,0,NA,NA,NA,NA,NA,NA,NA,NA,2.91,NA,NA,NA,NA
Microtus_thomasi,0,NA,NA,NA,NA,NA,NA,NA,NA,4.32,NA,NA,NA,NA
Microtus_townsendii,0,NA,NA,NA,NA,52.02,23.2,15.44,NA,5.06,NA,NA,NA,NA
Microtus_transcaspicus,0,NA,NA,NA,NA,NA,NA,NA,2.79,2.1,NA,NA,NA,NA
Microtus_umbrosus,0,NA,NA,NA,NA,41.99,NA,NA,NA,NA,NA,NA,NA,NA
Microtus_xanthognathus,0,NA,NA,NA,NA,92.65,NA,30.41,3.49,8.1,2,NA,NA,NA
Millardia_gleadowi,0,NA,NA,NA,4,NA,NA,NA,NA,2.3,NA,NA,NA,NA
Millardia_meltada,0,NA,NA,NA,NA,67.17,20,NA,NA,5.72,6.89,114.06,NA,NA
Mimetillus_moloneyi,0,NA,NA,NA,NA,8.89,NA,NA,NA,0.98,NA,NA,NA,NA
Mimon_bennettii,0,NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA
Mimon_cozumelae,0,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA
Mimon_crenulatum,0,NA,NA,NA,NA,13.91,NA,NA,NA,0.99,NA,NA,NA,NA
Miniopterus_australis,0,NA,NA,NA,NA,7.4,132.74,NA,NA,0.99,1,NA,NA,NA
Miniopterus_fraterculus,0,NA,NA,NA,NA,7.38,155.09,NA,NA,1,NA,NA,NA,NA
Miniopterus_inflatus,0,NA,NA,NA,NA,14.9,91.24,NA,NA,0.99,NA,NA,NA,NA
Miniopterus_macrocneme,0,NA,NA,NA,NA,7.53,NA,NA,NA,1,NA,NA,NA,NA
Miniopterus_magnater,0,NA,NA,NA,NA,14.14,NA,NA,NA,NA,NA,NA,NA,NA
Miniopterus_medius,0,NA,NA,NA,NA,11.4,NA,NA,NA,1,NA,NA,NA,NA
Miniopterus_natalensis,0,NA,NA,NA,NA,10.43,126.88,58.59,3,1,1,NA,NA,NA
Miniopterus_pusillus,0,NA,NA,NA,NA,8.95,NA,NA,NA,NA,NA,NA,NA,NA
Miniopterus_schreibersii,0,NA,NA,NA,14,11.46,182.5,60.19,2.86,0.99,1,723.66,4386.34,0.083212884
Miniopterus_tristis,0,NA,NA,NA,NA,15.17,NA,NA,NA,NA,NA,NA,NA,NA
Miopithecus_talapoin,0,NA,NA,NA,30.9,1248.86,164.38,178.98,179.04,1.01,1,1598.7,9679.8,0.037707391
Mirounga_angustirostris,0,NA,NA,NA,20.29166667,1112390.81,290.63,27.37,34381.77,1,1,1460,5946.458333,0.061381074
Mirounga_leonina,0,NA,NA,NA,23,1600000,243.33,22.93,39392.97,1,0.86,1460,6935,0.06119951
Mirza_coquereli,0,NA,NA,NA,15.3,326.5,88.58,136,12.92,1.71,1,532.9,5051.6,0.072254335
Mogera_imaizumii,0,NA,NA,NA,3.5,65.53,NA,NA,NA,3.25,1,NA,NA,NA
Mogera_insularis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
Mogera_tokudae,0,NA,NA,NA,NA,133.48,40,NA,NA,3.26,1,NA,NA,NA
Mogera_wogura,0,NA,NA,NA,3.5,96.88,40,NA,NA,3.78,1,NA,NA,NA
Molossops_mattogrossensis,0,NA,NA,NA,NA,7.48,NA,NA,NA,NA,1,NA,NA,NA
Molossops_temminckii,0,NA,NA,NA,NA,5.86,NA,NA,NA,0.98,NA,NA,NA,NA
Molossus_aztecus,0,NA,NA,NA,NA,14.86,NA,NA,NA,NA,NA,NA,NA,NA
Molossus_currentium,0,NA,NA,NA,NA,17.79,NA,NA,NA,0.99,NA,NA,NA,NA
Molossus_molossus,0,NA,NA,NA,NA,13.7,107.97,60.45,3.49,0.99,2,NA,NA,NA
Molossus_pretiosus,0,NA,NA,NA,NA,98,NA,NA,NA,0.98,NA,NA,NA,NA
Molossus_sinaloae,0,NA,NA,NA,NA,21.09,NA,47.25,3.79,1.03,1,NA,NA,NA
Monachus_monachus,0,NA,NA,NA,23.7,294881.33,334.58,42.75,20000,1,NA,1460,7190.5,NA
Monachus_schauinslandi,0,NA,NA,NA,30,222999.99,344.15,37.13,16250,1,0.5,1825,9125,0.08
Monodelphis_adusta,0,NA,NA,NA,4.1,36.04,NA,NA,NA,NA,NA,NA,NA,NA
Monodelphis_americana,0,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA
Monodelphis_brevicaudata,0,NA,NA,NA,3.9,78.84,NA,NA,NA,7.24,1.5,NA,NA,NA
Monodelphis_dimidiata,0,NA,NA,NA,1,44.56,NA,55.68,0.08,12,1,365,0,#DIV/0!
Monodelphis_domestica,0,NA,NA,NA,6,93.45,14.55,49.49,0.09,7.29,4,182.5,2007.5,0.045454545
Monodelphis_emiliae,0,NA,NA,NA,NA,52.33,NA,NA,NA,NA,NA,NA,NA,NA
Monodelphis_iheringi,0,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA
Monodelphis_kunsi,0,NA,NA,NA,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA
Monodelphis_osgoodi,0,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA
Monodelphis_rubida,0,NA,NA,NA,NA,45.5,NA,NA,NA,NA,NA,NA,NA,NA
Monodelphis_scalops,0,NA,NA,NA,NA,763.19,NA,NA,NA,NA,NA,NA,NA,NA
Monodelphis_sorex,0,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
Monodelphis_theresa,0,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA
Monodelphis_unistriata,0,NA,NA,NA,NA,55.3,NA,NA,NA,NA,NA,NA,NA,NA
Monodon_monoceros,0,NA,NA,NA,50,938126.44,441.04,608.33,79999.99,1,0.41,2190,16060,0.055432373
Monophyllus_plethodon,0,NA,NA,NA,NA,15.33,NA,NA,0.87,0.99,NA,NA,NA,NA
Monophyllus_redmani,0,NA,NA,NA,NA,8.79,NA,NA,NA,0.99,NA,NA,NA,NA
Mops_brachypterus,0,NA,NA,NA,NA,16,NA,NA,NA,0.99,NA,NA,NA,NA
Mops_condylurus,0,NA,NA,NA,NA,26.59,88.64,49.99,8.03,1,2,NA,NA,NA
Mops_congicus,0,NA,NA,NA,NA,42.84,NA,NA,NA,0.99,1.5,NA,NA,NA
Mops_demonstrator,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Mops_leucostigma,0,NA,NA,NA,NA,26.79,NA,NA,NA,NA,NA,NA,NA,NA
Mops_midas,0,NA,NA,NA,NA,45.5,NA,NA,9.5,1.22,2,NA,NA,NA
Mops_mops,0,NA,NA,NA,NA,31.12,NA,NA,NA,NA,NA,NA,NA,NA
Mops_nanulus,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,NA,NA,NA
Mops_niveiventer,0,NA,NA,NA,NA,21.82,NA,NA,NA,1,NA,NA,NA,NA
Mops_spurrelli,0,NA,NA,NA,NA,8.08,NA,NA,NA,NA,NA,NA,NA,NA
Mops_thersites,0,NA,NA,NA,NA,21.99,NA,NA,NA,1,2,NA,NA,NA
Mops_trevori,0,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA
Mormoops_blainvillei,0,NA,NA,NA,NA,8.69,NA,NA,NA,NA,NA,NA,NA,NA
Mormoops_megalophylla,0,NA,NA,NA,NA,16.09,NA,NA,0.91,0.99,1,NA,NA,NA
Mormopterus_beccarii,0,NA,NA,NA,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA
Mormopterus_jugularis,0,NA,NA,NA,NA,11.56,NA,NA,NA,NA,NA,NA,NA,NA
Mormopterus_loriae,0,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
Mormopterus_norfolkensis,0,NA,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,NA
Mormopterus_planiceps,0,NA,NA,NA,NA,9.24,106.86,NA,2.06,0.99,1,NA,NA,NA
Moschiola_meminna,0,NA,NA,NA,14.5,3130.95,153.53,NA,319,1.5,NA,NA,NA,NA
Moschus_berezovskii,0,NA,NA,NA,NA,12477.41,184.24,47.14,529.5,1.2,1,NA,NA,NA
Moschus_chrysogaster,0,NA,NA,NA,NA,13697.9,188,47.14,659.54,1.2,1,730,NA,NA
Moschus_fuscus,0,NA,NA,NA,NA,13697.9,NA,47.14,NA,NA,1,NA,NA,NA
Moschus_moschiferus,1,0,NA,2,12,13315.57,175.92,47.14,498.39,1.74,1,472.987872,3907.012128,0.093421773
Mosia_nigrescens,0,NA,NA,NA,NA,3.33,NA,NA,NA,0.98,NA,NA,NA,NA
Mungos_gambianus,0,NA,NA,NA,NA,1644.98,NA,NA,NA,NA,NA,NA,NA,NA
Mungos_mungo,0,NA,NA,NA,17.4,1260,60.91,20.88,24.2,2.68,2.5,365,5986,0.024390244
Mungotictis_decemlineata,0,NA,NA,NA,NA,657.03,100.83,45.1,49.13,0.99,NA,741.8625,NA,NA
Muntiacus_atherodes,0,NA,NA,NA,NA,18939.1,NA,NA,NA,NA,NA,NA,NA,NA
Muntiacus_crinifrons,0,NA,NA,NA,NA,18590.01,195.57,NA,NA,1,NA,NA,NA,NA
Muntiacus_feae,0,NA,NA,NA,NA,21999.99,195.57,NA,NA,1.22,NA,NA,NA,NA
Muntiacus_gongshanensis,0,NA,NA,NA,NA,18590.01,NA,NA,NA,NA,NA,NA,NA,NA
Muntiacus_muntjak,1,0,NA,1,18.8,17611.59,210,60.8736,1371.39,1,1.5145,263.887056,6598.112944,0.036526145
Muntiacus_reevesi,1,1,1,8,23.2,13499.94,214.24,60,1050,0.98,1.5,182.6208,8285.3792,0.029369004
Muntiacus_rooseveltorum,0,NA,NA,NA,NA,10762.64,212.49,NA,NA,1,NA,NA,NA,NA
Murexechinus_melanurus,0,NA,NA,NA,NA,38.02,NA,NA,NA,3.49,1,NA,NA,NA
Murexia_longicaudata,0,NA,NA,NA,NA,126.79,NA,NA,NA,NA,NA,NA,NA,NA
Muriculus_imberbis,0,NA,NA,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA
Murina_aenea,0,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA
Murina_cyclotis,0,NA,NA,NA,NA,9.35,NA,NA,NA,1.98,NA,NA,NA,NA
Murina_florium,0,NA,NA,NA,NA,4.41,NA,NA,NA,NA,NA,NA,NA,NA
Murina_huttoni,0,NA,NA,NA,NA,7.56,NA,NA,NA,NA,NA,NA,NA,NA
Murina_leucogaster,0,NA,NA,NA,NA,7.54,NA,NA,NA,NA,NA,NA,NA,NA
Murina_suilla,0,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Murina_tubinaris,0,NA,NA,NA,NA,5.45,NA,NA,NA,1.37,NA,NA,NA,NA
Mus_booduga,0,NA,NA,NA,NA,13.78,NA,NA,NA,5.96,NA,NA,NA,NA
Mus_bufo,0,NA,NA,NA,NA,8.88,NA,NA,NA,NA,NA,NA,NA,NA
Mus_caroli,0,NA,NA,NA,NA,14.26,18.1,NA,1.2,NA,NA,NA,NA,NA
Mus_cervicolor,0,NA,NA,NA,NA,17.7,17.6,NA,1.5,4.4,NA,NA,NA,NA
Mus_indutus,0,NA,NA,NA,NA,6.15,NA,NA,NA,4.76,NA,NA,NA,NA
Mus_mahomet,0,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
Mus_mayori,0,NA,NA,NA,NA,NA,NA,NA,NA,2.95,NA,NA,NA,NA
Mus_minutoides,0,NA,NA,NA,4.3,6.43,20.71,20.19,1.01,4.18,4,62,1507.5,0.06053068
Mus_musculoides,0,NA,NA,NA,NA,8.23,23.5,23.82,0.8,3.49,NA,NA,NA,NA
Mus_musculus,1,1,1,220,6,19.3,19.6,21.5,1.06,5.54,4.5,139.5,2050.5,0.039556748
Mus_platythrix,0,NA,NA,NA,NA,29.08,NA,NA,NA,6.93,NA,NA,NA,NA
Mus_setulosus,0,NA,NA,NA,NA,11.18,NA,NA,NA,3.92,NA,NA,NA,NA
Mus_setzeri,0,NA,NA,NA,NA,6.65,NA,NA,NA,NA,NA,NA,NA,NA
Mus_spicilegus,0,NA,NA,NA,3.5,NA,NA,NA,NA,6.69,4.5,NA,NA,NA
Mus_spretus,0,NA,NA,NA,NA,16.67,NA,NA,NA,5.15,NA,40.75833333,NA,NA
Mus_tenellus,0,NA,NA,NA,NA,NA,NA,NA,NA,1.94,NA,NA,NA,NA
Mus_triton,0,NA,NA,NA,NA,12.62,20.37916667,27.5,1.29,4.4,3,50.79583333,NA,NA
Muscardinus_avellanarius,1,1,0,4,6,29.19,24.97,37.61,0.8,4.3,1.5,502.2072,1687.7928,0.144172515
Mustela_africana,0,NA,NA,NA,NA,536.98,NA,NA,NA,NA,NA,NA,NA,NA
Mustela_altaica,0,NA,NA,NA,NA,180.24,40,56,NA,5.44,NA,NA,NA,NA
Mustela_erminea,1,1,1,9,12.5,284.5,66.35,60.93,2.25,6.74,1,94.962816,4467.537184,0.081700495
Mustela_eversmanii,0,NA,NA,NA,9.1,1684.21,40.14,48.8,4.99,7.82,1,365,2956.5,0.12345679
Mustela_felipei,0,NA,NA,NA,NA,211.3,NA,NA,NA,NA,NA,NA,NA,NA
Mustela_frenata,0,NA,NA,NA,8.8,190.03,24.5,34.23,3.09,6.5,1,162.1208333,3049.879167,0.119676872
Mustela_kathiah,0,NA,NA,NA,NA,263.74,NA,NA,NA,NA,NA,NA,NA,NA
Mustela_lutreola,1,1,NA,5,10,566.44,43.74,58.71,7.4,4.5,1,324.760656,3325.239344,0.109766535
Mustela_lutreolina,0,NA,NA,NA,NA,466.25,NA,NA,NA,NA,NA,NA,NA,NA
Mustela_nigripes,0,NA,NA,NA,12,907.1,43,59.66,7.39,3.36,1,365.2416,4014.7584,0.090914562
Mustela_nivalis,1,1,1,14,10,78.45,36.49,36.74,2,5.07,1,113.529264,3536.470736,0.103210242
Mustela_nudipes,0,NA,NA,NA,NA,569.42,NA,NA,NA,4,NA,NA,NA,NA
Mustela_putorius,1,1,1,22,14,975.55,41.49,54.39,9.5,8.48,1,304.368,4805.632,0.075952549
Mustela_sibirica,1,1,0,4,8.8,530.85,30.12,58.2,NA,6.48,NA,NA,NA,NA
Mustela_strigidorsa,0,NA,NA,NA,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA
Mydaus_javanensis,0,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA
Mydaus_marchei,0,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA
Mylomys_dybowskii,0,NA,NA,NA,NA,110.96,NA,NA,NA,4.04,NA,NA,NA,NA
Myocastor_coypus,1,1,1,50,12,6361.55,131.86,52.83,205.7,5.34,2.58,319.37,4060.63,0.034840128
Myodes_californicus,0,NA,NA,NA,NA,18.3,18,NA,NA,3.1,3.85,NA,NA,NA
Myodes_centralis,0,NA,NA,NA,NA,NA,NA,NA,NA,4.83,10,NA,NA,NA
Myodes_gapperi,0,NA,NA,NA,1.666666667,19.83,18,30.87,1.49,5.37,2.4,121.6666667,486.6666667,0.3125
Myodes_glareolus,1,1,1,1,4.917,20.73,19.74,19.73,1.83,4.31,3.5,83.22,1711.485,0.060932882
Myodes_rufocanus,0,NA,NA,NA,NA,36.43,NA,NA,2.25,5.01,3,110,NA,NA
Myodes_rutilus,1,1,NA,2,1.67,19.94,23.98,106.5288,1.8,5.6,4.2,121.6666667,487.8833333,0.178126113
Myodes_smithii,0,NA,NA,NA,3.5,34.94,19,27.34,2.13,4.1,NA,120,1157.5,NA
Myoictis_melas,0,NA,NA,NA,NA,221.77,NA,NA,NA,NA,NA,NA,NA,NA
Myomyscus_verreauxii,0,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA
Myonycteris_relicta,0,NA,NA,NA,NA,53.32,NA,NA,NA,NA,NA,NA,NA,NA
Myonycteris_torquata,0,NA,NA,NA,NA,44.92,NA,NA,11,1,2,NA,NA,NA
Myoprocta_acouchy,0,NA,NA,NA,14.8,954.87,98.43,26.19,75.23,1.97,NA,250.025,5151.975,NA
Myoprocta_pratti,0,NA,NA,NA,NA,966.73,99.65,48.63,79.3,1.77,NA,NA,NA,NA
Myopterus_whitleyi,0,NA,NA,NA,NA,11.55,NA,NA,NA,NA,NA,NA,NA,NA
Myopus_schisticolor,0,NA,NA,NA,1,29.99,23.74,19.86,3.2,5.25,2,60.83,304.17,0.599993425
Myosciurus_pumilio,0,NA,NA,NA,NA,16.44,NA,NA,NA,1.97,NA,NA,NA,NA
Myosorex_babaulti,0,NA,NA,NA,NA,NA,NA,NA,NA,2.99,NA,NA,NA,NA
Myosorex_cafer,0,NA,NA,NA,NA,12.3,NA,NA,NA,2.99,NA,NA,NA,NA
Myosorex_geata,0,NA,NA,NA,NA,9.34,NA,NA,NA,4,NA,NA,NA,NA
Myosorex_sclateri,0,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
Myosorex_varius,0,NA,NA,NA,2.1,11.68,NA,21,1,2.9,2,NA,NA,NA
Myospalax_myospalax,0,NA,NA,NA,NA,225,NA,NA,NA,4.5,1,NA,NA,NA
Myospalax_psilurus,0,NA,NA,NA,NA,259.21,NA,NA,NA,3.11,NA,NA,NA,NA
Myotis_adversus,0,NA,NA,NA,NA,10.41,NA,56.28,NA,1,2.5,NA,NA,NA
Myotis_albescens,0,NA,NA,NA,NA,5.69,93.18,30.2,NA,0.98,2.5,NA,NA,NA
Myotis_altarium,0,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
Myotis_annectans,0,NA,NA,NA,NA,9.75,NA,NA,NA,NA,NA,NA,NA,NA
Myotis_auriculus,0,NA,NA,NA,3.166666667,38.04,NA,NA,NA,1,NA,NA,NA,NA
Myotis_austroriparius,0,NA,NA,NA,6,7.35,NA,46.8,1.12,1.88,1,365,1825,0.2
Myotis_bechsteinii,0,NA,NA,NA,21,9.47,NA,NA,NA,1,1,NA,NA,NA
Myotis_blythii,0,NA,NA,NA,33,23.82,NA,NA,NA,0.98,NA,NA,NA,NA
Myotis_bocagii,0,NA,NA,NA,NA,7.93,NA,NA,NA,0.99,NA,NA,NA,NA
Myotis_brandtii,0,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA
Myotis_californicus,0,NA,NA,NA,15,4.39,NA,89.79,NA,0.99,1,NA,NA,NA
Myotis_capaccinii,0,NA,NA,NA,NA,8.15,54.99,NA,NA,0.99,NA,NA,NA,NA
Myotis_chiloensis,0,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA
Myotis_chinensis,0,NA,NA,NA,NA,41.99,NA,NA,NA,NA,NA,NA,NA,NA
Myotis_ciliolabrum,0,NA,NA,NA,NA,4.89,NA,NA,NA,NA,NA,NA,NA,NA
Myotis_dasycneme,0,NA,NA,NA,20.5,15.16,NA,NA,NA,1,NA,NA,NA,NA
Myotis_daubentonii,0,NA,NA,NA,28,7.63,55.14,35.33,2,1.21,1,NA,NA,NA
Myotis_elegans,0,NA,NA,NA,NA,4.21,NA,NA,NA,0.98,NA,NA,NA,NA
Myotis_emarginatus,0,NA,NA,NA,22.7,7.56,NA,41.61,NA,0.99,1,547.5,7738,0.047169811
Myotis_evotis,0,NA,NA,NA,22,6.91,NA,NA,1.22,0.98,1,NA,NA,NA
Myotis_formosus,0,NA,NA,NA,NA,7.07,NA,NA,NA,NA,NA,NA,NA,NA
Myotis_fortidens,0,NA,NA,NA,NA,4.37,NA,NA,NA,0.98,NA,NA,NA,NA
Myotis_frater,0,NA,NA,NA,NA,7.54,NA,NA,NA,1,NA,730,NA,NA
Myotis_goudoti,0,NA,NA,NA,NA,5.56,NA,NA,NA,NA,NA,NA,NA,NA
Myotis_grisescens,0,NA,NA,NA,39.27,10.84,NA,42.35,2.94,0.99,1,730,13603.55,0.026831232
Myotis_hasseltii,0,NA,NA,NA,NA,8.7,NA,NA,NA,0.99,NA,NA,NA,NA
Myotis_horsfieldii,0,NA,NA,NA,NA,6.05,NA,NA,NA,NA,NA,NA,NA,NA
Myotis_keaysi,0,NA,NA,NA,NA,5.45,NA,NA,NA,0.98,NA,NA,NA,NA
Myotis_keenii,0,NA,NA,NA,19,6.51,NA,38.93,NA,0.99,1,NA,NA,NA
Myotis_leibii,0,NA,NA,NA,12,5.22,NA,NA,NA,0.99,1,NA,NA,NA
Myotis_levis,0,NA,NA,NA,NA,5.49,NA,NA,NA,NA,NA,NA,NA,NA
Myotis_lucifugus,0,NA,NA,NA,34,7.8,59.79,26,2.18,1,1,730,11680,0.03125
Myotis_macrodactylus,0,NA,NA,NA,NA,7.48,NA,NA,1.72,1,NA,NA,NA,NA
